REPORT_DATE,RESPONDERS SHIFT,METHOD,OFFENSE,BLOCK,WARD,ANC,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE
2025-11-08 05:34:19+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,2,2C,10100,Cluster 8,38.90452619,-77.03261406
2025-11-08 09:12:59+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1429 - 1599 BLOCK OF OKIE STREET NE,5,5D,8803,Cluster 23,38.91539586,-76.98209193
2025-11-08 22:22:25+00:00,EVENING,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF SWANN STREET NW,2,2B,4300,Cluster 6,38.91483314,-77.03552148
2025-11-08 23:35:09+00:00,EVENING,OTHERS,THEFT/OTHER,1400 - 1425 BLOCK OF NEW JERSEY AVENUE NW,5,5E,4600,Cluster 21,38.90891013,-77.01603195
2025-11-17 21:34:08+00:00,EVENING,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF H STREET NE,5,5D,8904,Cluster 23,38.9001957,-76.97685467
2025-11-17 23:10:48+00:00,EVENING,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF D STREET SE,6,6B,6500,Cluster 26,38.88427367,-77.00131005
2025-11-28 18:02:07+00:00,DAY,OTHERS,THEFT/OTHER,1800 - 1820 BLOCK OF 1ST STREET NW,5,5E,3302,Cluster 21,38.91445568,-77.01215341
2025-11-11 05:34:45+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF WILTBERGER STREET NW,2,2G,4801,Cluster 3,38.91483063,-77.02087279
2025-11-11 13:21:53+00:00,DAY,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,3,3A,1002,Cluster 14,38.93475141,-77.07328988
2025-11-18 16:41:02+00:00,DAY,OTHERS,THEFT F/AUTO,1630 - 1699 BLOCK OF EUCLID STREET NW,1,1C,3802,Cluster 1,38.92318169,-77.03838072
2025-11-13 02:51:24+00:00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,1300 - 1399 BLOCK OF EUCLID STREET NW,1,1B,3600,Cluster 2,38.92376494,-77.03092707
2025-11-13 19:26:08+00:00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF E STREET SE,6,6B,6900,Cluster 26,38.88283903,-76.98690862
2025-11-13 20:22:58+00:00,EVENING,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF K STREET NW,2,2C,10700,Cluster 6,38.90252492,-77.04056719
2025-11-18 18:32:37+00:00,DAY,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,4,4A,1600,Cluster 16,38.98447704,-77.02660595
2025-11-20 00:42:05+00:00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF MONROE STREET NE,5,5F,9201,Cluster 21,38.93236657,-76.9955767
2025-11-21 00:58:12+00:00,EVENING,OTHERS,THEFT/OTHER,5300 - 5399 BLOCK OF GEORGIA AVENUE NW,4,4D,2101,Cluster 18,38.9546148,-77.02780712
2025-11-01 03:28:51+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF DAHLIA STREET NW,4,4A,10300,Cluster 40,38.97580503,-77.02727045
2025-11-01 14:50:32+00:00,DAY,GUN,ROBBERY,4200 - 4299 BLOCK OF HILDRETH STREET SE,7,7E,7707,Cluster 33,38.8780743,-76.94174969
2025-11-02 23:23:36+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1800 - 1899 BLOCK OF SAVANNAH STREET SE,8,8E,7409,Cluster 38,38.84630849,-76.97776684
2025-11-02 23:59:54+00:00,EVENING,OTHERS,THEFT/OTHER,4026 - 4199 BLOCK OF WHEELER ROAD SE,8,8E,9801,Cluster 39,38.83365728,-76.98978284
2025-11-03 03:51:51+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,6425 - 6508 BLOCK OF 16TH STREET NW,4,4A,1803,Cluster 17,38.96889315,-77.03637384
2025-11-04 17:59:44+00:00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF U STREET NW,1,1B,4402,Cluster 3,38.91700008,-77.03078611
2025-11-08 23:23:24+00:00,EVENING,OTHERS,THEFT/OTHER,400 - 599 BLOCK OF BRANDYWINE STREET SE,8,8E,9802,Cluster 39,38.83008094,-76.99953428
2025-11-09 08:40:42+00:00,MIDNIGHT,OTHERS,ROBBERY,1600 - 1622 BLOCK OF 19TH STREET NW,2,2B,4202,Cluster 6,38.91149864,-77.0434352
2025-11-10 01:35:17+00:00,EVENING,OTHERS,THEFT F/AUTO,2300 - 2599 BLOCK OF SHERMAN AVENUE NW,1,1E,3500,Cluster 2,38.92229171,-77.02534216
2025-11-11 04:54:54+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,300 - 335 BLOCK OF L STREET SE,8,8F,7203,Cluster 27,38.87752795,-77.00165827
2025-11-12 12:55:58+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,6001 - 6137 BLOCK OF SLIGO MILL ROAD NE,4,4B,9505,Cluster 19,38.96399139,-77.00641001
2025-11-12 19:09:55+00:00,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF K STREET NW,6,6E,4704,Cluster 8,38.90251513,-77.01015059
2025-11-12 20:13:53+00:00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,1,1B,3500,Cluster 3,38.91723646,-77.02294573
2025-11-13 21:20:39+00:00,EVENING,OTHERS,THEFT/OTHER,2000 - 2198 BLOCK OF BLADENSBURG ROAD NE,5,5C,11100,Cluster 22,38.91894826,-76.97113727
2025-11-15 12:09:37+00:00,DAY,OTHERS,THEFT F/AUTO,1000 - 1099 BLOCK OF 17TH PLACE NE,5,5D,8903,Cluster 23,38.90310887,-76.98006158
2025-11-15 14:45:43+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1200 - 1299 BLOCK OF IRVING STREET NE,5,5B,9301,Cluster 22,38.92864836,-76.98952566
2025-11-15 21:08:46+00:00,EVENING,OTHERS,THEFT F/AUTO,1400 - 1509 BLOCK OF MERIDIAN PLACE NW,1,1A,2801,Cluster 2,38.93357694,-77.0342657
2025-11-17 17:22:14+00:00,DAY,OTHERS,THEFT/OTHER,3200 - 3318 BLOCK OF ROWLAND PLACE NW,3,3C,600,Cluster 15,38.93850832,-77.06410243
2025-11-18 03:09:19+00:00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,1200 - 1299 BLOCK OF 18TH PLACE NE,5,5D,8903,Cluster 23,38.90613605,-76.9771759
2025-11-19 20:35:24+00:00,EVENING,OTHERS,THEFT F/AUTO,2200 - 2305 BLOCK OF PENNSYLVANIA AVENUE SE,7,7B,7601,Cluster 34,38.87447546,-76.97283039
2025-11-19 21:30:35+00:00,EVENING,OTHERS,BURGLARY,2000 - 2099 BLOCK OF RHODE ISLAND AVENUE NE,5,5C,11100,Cluster 22,38.92937252,-76.97553183
2025-11-20 17:19:18+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,3300 - 3399 BLOCK OF TENNYSON STREET NW,4,3/4G,1500,Cluster 10,38.97283689,-77.06832209
2025-11-22 03:02:35+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3429 - 3464 BLOCK OF 14TH STREET NW,1,1A,2900,Cluster 2,38.93282402,-77.0327323
2025-11-22 16:45:30+00:00,DAY,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,3,3E,1100,Cluster 11,38.94924665,-77.08029824
2025-11-24 03:27:14+00:00,EVENING,OTHERS,THEFT/OTHER,1 - 69 BLOCK OF I STREET SE,6,8F,7202,Cluster 27,38.87928638,-77.00826113
2025-11-17 19:33:58+00:00,DAY,OTHERS,THEFT F/AUTO,3200 - 3247 BLOCK OF O STREET NW,2,2E,202,Cluster 4,38.90783543,-77.06443204
2025-11-17 20:33:21+00:00,EVENING,OTHERS,THEFT/OTHER,1436 - 1498 BLOCK OF HOWARD ROAD SE,8,8B,7407,Cluster 37,38.85822988,-76.98704517
2025-11-20 12:32:35+00:00,DAY,OTHERS,THEFT/OTHER,700 - 999 BLOCK OF HOBART PLACE NW,1,1E,3100,Cluster 2,38.92747815,-77.02451654
2025-11-26 12:02:41+00:00,DAY,OTHERS,THEFT/OTHER,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,3,3C,501,Cluster 15,38.92419981,-77.05190312
2025-11-21 19:58:22+00:00,DAY,OTHERS,THEFT F/AUTO,2400 - 2537 BLOCK OF 15TH STREET NW,1,1B,3701,Cluster 2,38.92237508,-77.03526243
2025-11-24 17:03:11+00:00,DAY,OTHERS,THEFT/OTHER,2900 - 3049 BLOCK OF VAN NESS STREET NW,3,3F,1303,Cluster 12,38.94315419,-77.06171259
2025-11-24 22:50:32+00:00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,2,2C,5802,Cluster 8,38.89782585,-77.02961894
2025-11-24 23:53:15+00:00,EVENING,OTHERS,THEFT F/AUTO,4000 - 4099 BLOCK OF 14TH STREET NW,4,4C,2504,Cluster 18,38.94027388,-77.03272869
2025-11-25 01:45:06+00:00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,2,2C,10100,Cluster 8,38.90452619,-77.03261406
2025-11-28 03:04:55+00:00,EVENING,OTHERS,BURGLARY,100 - 199 BLOCK OF CARROLL STREET NW,4,4B,1702,Cluster 17,38.97483787,-77.01432486
2025-11-28 05:52:26+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,2000 - 2099 BLOCK OF 14TH STREET NW,1,1B,4401,Cluster 3,38.91755504,-77.0319511
2025-11-24 20:27:49+00:00,EVENING,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF PENNSYLVANIA AVENUE NW,2,2A,10800,Cluster 5,38.90169903,-77.04774446
2025-11-25 20:06:49+00:00,EVENING,OTHERS,THEFT/OTHER,900 - 935 BLOCK OF KENNEDY STREET NW,4,4D,2101,Cluster 18,38.95625198,-77.0265998
2025-11-26 04:48:31+00:00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,3846 - 3999 BLOCK OF SOUTH CAPITOL STREET,8,8D,9807,Cluster 39,38.8324785,-77.00825755
2025-11-29 02:15:23+00:00,EVENING,OTHERS,BURGLARY,1800 - 1899 BLOCK OF NEWTON STREET NW,1,1D,2703,Cluster 2,38.93417041,-77.04273842
2025-11-04 02:59:40+00:00,EVENING,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF S STREET NW,2,2B,4201,Cluster 6,38.91409293,-77.03749421
2025-11-04 22:30:17+00:00,EVENING,OTHERS,THEFT/OTHER,2000 - 2061 BLOCK OF E STREET NE,7,7D,7903,Cluster 25,38.89611283,-76.97566652
2025-11-05 00:07:53+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1 - 99 BLOCK OF N STREET NE,6,6E,10601,Cluster 25,38.90723823,-77.0074919
2025-11-05 14:58:46+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,700 - 899 BLOCK OF 3RD STREET SW,6,6D,10500,Cluster 9,38.88028138,-77.0151865
2025-11-07 19:46:58+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,5100 - 5199 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,7,7C,7804,Cluster 31,38.89834838,-76.9265671
2025-11-08 07:25:47+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1389 BLOCK OF BARNABY TERRACE SE,8,8E,9700,Cluster 39,38.83458854,-76.98773378
2025-11-09 18:24:21+00:00,DAY,OTHERS,THEFT/OTHER,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,3,3C,1304,Cluster 15,38.93482428,-77.05808053
2025-11-09 21:09:45+00:00,EVENING,OTHERS,THEFT/OTHER,7100 - 7199 BLOCK OF 12TH STREET NW,4,4A,10300,Cluster 40,38.97654743,-77.02789138
2025-11-10 03:11:36+00:00,EVENING,OTHERS,THEFT F/AUTO,2200 - 2299 BLOCK OF 25TH PLACE NE,5,5C,11100,Cluster 22,38.92103499,-76.97091928
2025-11-10 13:32:37+00:00,DAY,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 14TH STREET NW,1,1B,4401,Cluster 3,38.91864856,-77.03195182
2025-11-10 18:52:23+00:00,DAY,OTHERS,THEFT/OTHER,3517 - 3648 BLOCK OF 16TH STREET NW,1,1D,2704,Cluster 2,38.93588403,-77.03645008
2025-11-11 04:07:42+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,1900 - 1920 BLOCK OF 14TH STREET NW,2,2F,4300,Cluster 3,38.91592868,-77.0319536
2025-11-12 02:36:58+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2900 - 2999 BLOCK OF 39TH STREET NW,3,3A,704,Cluster 14,38.92827301,-77.07704983
2025-11-12 18:19:42+00:00,DAY,OTHERS,THEFT F/AUTO,409 - 499 BLOCK OF 7TH STREET NE,6,6A,8302,Cluster 25,38.89578707,-76.9961656
2025-11-14 20:01:44+00:00,EVENING,OTHERS,THEFT F/AUTO,800 - 899 BLOCK OF KENTUCKY AVENUE SE,6,6B,6802,Cluster 26,38.87968874,-76.98184561
2025-11-14 22:30:09+00:00,EVENING,OTHERS,THEFT/OTHER,1800 - 1823 BLOCK OF 14TH STREET NW,2,2F,4300,Cluster 3,38.91446221,-77.03195329
2025-11-17 16:49:13+00:00,DAY,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,1,1C,3901,Cluster 1,38.92386989,-77.04087559
2025-11-18 23:46:34+00:00,EVENING,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF TRINIDAD AVENUE NE,5,5D,8802,Cluster 23,38.90200958,-76.98709821
2025-11-19 05:01:00+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF LEBAUM STREET SE,8,8C,10400,Cluster 39,38.84700256,-76.99789087
2025-11-20 06:08:48+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,1000 - 1059 BLOCK OF MASSACHUSETTS AVENUE NW,2,2C,10100,Cluster 8,38.90368856,-77.02628633
2025-11-21 01:42:41+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,3500 - 3599 BLOCK OF GARFIELD STREET NW,3,3C,400,Cluster 15,38.92752666,-77.06976004
2025-11-22 19:22:50+00:00,DAY,OTHERS,THEFT/OTHER,4700 - 4899 BLOCK OF C STREET SE,7,7E,9906,Cluster 33,38.88580363,-76.93442835
2025-11-22 11:04:21+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,3100 - 3199 BLOCK OF GEORGIA AVENUE NW,1,1E,3100,Cluster 2,38.92952942,-77.02329798
2025-11-17 21:04:45+00:00,EVENING,OTHERS,THEFT/OTHER,1900 - 1923 BLOCK OF 3RD STREET NW,1,1B,3400,Cluster 3,38.91650365,-77.01581803
2025-11-20 12:32:48+00:00,DAY,OTHERS,THEFT F/AUTO,2100 - 2199 BLOCK OF 24TH PLACE NE,5,5C,11100,Cluster 22,38.92045753,-76.97156263
2025-11-17 21:32:53+00:00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 24TH STREET NW,2,2A,5501,Cluster 5,38.90450033,-77.05141069
2025-11-26 13:02:56+00:00,DAY,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF RIDGE STREET NW,2,2G,4802,Cluster 7,38.90644757,-77.01755545
2025-11-23 11:36:38+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1400 - 1498 BLOCK OF OKIE STREET NE,5,5D,8803,Cluster 23,38.91470017,-76.98409496
2025-11-23 17:37:08+00:00,DAY,OTHERS,THEFT/OTHER,4400 - 4499 BLOCK OF BENNING ROAD NE,7,7F,9603,Cluster 32,38.8911252,-76.938586
2025-11-24 16:57:41+00:00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF C STREET SE,6,6B,6900,Cluster 26,38.88535432,-76.98929424
2025-11-25 15:50:15+00:00,DAY,OTHERS,THEFT F/AUTO,3100 - 3114 BLOCK OF 19TH STREET NW,1,1D,2702,Cluster 2,38.93012666,-77.04301095
2025-11-28 23:15:31+00:00,EVENING,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,2,2E,202,Cluster 4,38.90515109,-77.0639959
2025-11-17 20:34:15+00:00,EVENING,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF T STREET NW,2,2B,4202,Cluster 6,38.91557407,-77.04254083
2025-11-26 15:32:06+00:00,DAY,OTHERS,THEFT/OTHER,2200 - 2232 BLOCK OF 15TH STREET NE,5,5C,9102,Cluster 22,38.91965743,-76.98206918
2025-11-29 00:32:09+00:00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,2,2C,5802,Cluster 8,38.89782585,-77.02961894
2025-11-03 16:02:41+00:00,DAY,OTHERS,THEFT/OTHER,1 - 299 BLOCK OF G STREET SW,6,6D,10500,Cluster 9,38.88128311,-77.01371933
2025-11-17 20:04:10+00:00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 15TH STREET NW,2,2C,10100,Cluster 8,38.90192536,-77.03363787
2025-11-17 21:33:34+00:00,EVENING,OTHERS,THEFT F/AUTO,2811 - 2899 BLOCK OF ONTARIO ROAD NW,1,1C,3902,Cluster 1,38.92547502,-77.04207679
2025-11-26 22:33:30+00:00,EVENING,OTHERS,THEFT/OTHER,100 - 299 BLOCK OF MICHIGAN AVENUE NW,5,5E,2302,Cluster 21,38.9263989,-77.01466583
2025-11-27 02:01:30+00:00,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF OGLETHORPE STREET NE,4,4B,9507,Cluster 19,38.9580019,-76.99386466
2025-10-31 13:25:01+00:00,DAY,OTHERS,BURGLARY,400 - 497 BLOCK OF L STREET NW,6,6E,4703,Cluster 8,38.9037338,-77.01754994
2025-11-03 16:01:53+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,120 - 199 BLOCK OF T STREET NE,5,5F,8701,Cluster 21,38.91556426,-77.00429819
2025-11-04 00:21:38+00:00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,2,2C,10100,Cluster 8,38.90452619,-77.03261406
2025-11-05 19:23:51+00:00,DAY,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF A STREET SE,6,6B,6700,Cluster 26,38.8886722,-76.98457952
2025-11-06 07:03:22+00:00,MIDNIGHT,OTHERS,BURGLARY,812 - 899 BLOCK OF BARNABY STREET SE,8,8E,9802,Cluster 39,38.83162982,-76.99183123
2025-11-07 03:06:38+00:00,EVENING,OTHERS,THEFT F/AUTO,1200 - 1219 BLOCK OF CONNECTICUT AVENUE NW,2,2B,10700,Cluster 6,38.90606186,-77.04135733
2025-11-08 17:14:16+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1700 - 1725 BLOCK OF TRINIDAD AVENUE NE,5,5D,8804,Cluster 23,38.90811345,-76.98283153
2025-11-12 09:56:21+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF G STREET NW,2,2C,5802,Cluster 8,38.89845083,-77.02242369
2025-11-12 18:34:01+00:00,DAY,OTHERS,THEFT F/AUTO,600 - 799 BLOCK OF ATLANTIC STREET SE,8,8E,9802,Cluster 39,38.83095577,-76.99656976
2025-11-17 20:33:08+00:00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 12TH STREET SE,6,6B,6900,Cluster 26,38.88347269,-76.99024612
2025-11-17 21:34:14+00:00,EVENING,OTHERS,THEFT/OTHER,3700 - 3799 BLOCK OF 2ND STREET SE,8,8D,9803,Cluster 39,38.83704663,-77.00281415
2025-11-27 03:32:04+00:00,EVENING,OTHERS,THEFT/OTHER,6709 - 6799 BLOCK OF 2ND STREET NW,4,4B,1702,Cluster 19,38.97265919,-77.01308399
2025-11-13 01:49:03+00:00,EVENING,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,2,2B,5303,Cluster 6,38.9096429,-77.03750663
2025-11-13 03:32:24+00:00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,80 - 99 BLOCK OF WEBSTER STREET NE,5,5A,9510,Cluster 19,38.94444535,-77.00613209
2025-11-13 13:57:23+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1 - 299 BLOCK OF G STREET SW,6,6D,10500,Cluster 9,38.88128311,-77.01371933
2025-11-14 15:51:19+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,2400 - 2499 BLOCK OF 18TH STREET NW,1,1C,3802,Cluster 1,38.92162305,-77.04236546
2025-11-15 23:24:16+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,444 - 799 BLOCK OF CONDON TERRACE SE,8,8E,9801,Cluster 39,38.83320962,-76.99750187
2025-11-19 04:02:12+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,7000 - 7098 BLOCK OF SPRING PLACE NW,4,4B,1702,Cluster 17,38.97615815,-77.01909724
2025-11-19 17:50:35+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF CHAPIN STREET NW,1,1B,3701,Cluster 2,38.92155573,-77.03357206
2025-11-19 23:21:45+00:00,EVENING,OTHERS,THEFT/OTHER,1000 - 1091 BLOCK OF 11TH STREET NW,2,2C,10100,Cluster 8,38.90313321,-77.02703884
2025-11-20 21:46:11+00:00,EVENING,OTHERS,THEFT/OTHER,5224 - 5299 BLOCK OF WISCONSIN AVENUE NW,3,3E,1100,Cluster 11,38.95853385,-77.08458744
2025-11-21 14:49:56+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF FORT STEVENS DRIVE NW,4,4A,1803,Cluster 17,38.96419401,-77.03452619
2025-11-26 14:11:06+00:00,DAY,OTHERS,THEFT F/AUTO,2000 - 2199 BLOCK OF EVARTS STREET NE,5,5C,11100,Cluster 22,38.92450822,-76.9751474
2025-11-26 15:51:25+00:00,DAY,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF ASPEN STREET NW,4,4B,10300,Cluster 17,38.97234789,-77.02631916
2025-10-31 15:04:56+00:00,DAY,OTHERS,THEFT/OTHER,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5C,9102,Cluster 22,38.92015701,-76.99030597
2025-11-01 03:40:25+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,2110 - 2199 BLOCK OF M STREET NW,2,2A,5501,Cluster 5,38.90526212,-77.04814114
2025-11-02 15:04:20+00:00,DAY,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,3,3F,1303,Cluster 12,38.94486864,-77.06391585
2025-11-02 15:12:07+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF W STREET NW,1,1B,4401,Cluster 3,38.91918253,-77.03078556
2025-11-03 19:30:04+00:00,DAY,OTHERS,THEFT F/AUTO,1900 - 1999 BLOCK OF 8TH STREET NW,1,1B,4402,Cluster 3,38.91614096,-77.02294272
2025-11-05 14:38:42+00:00,DAY,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF 3RD STREET SW,6,6D,11001,Cluster 9,38.87249277,-77.01515059
2025-11-04 16:16:45+00:00,DAY,OTHERS,THEFT F/AUTO,1801 - 1898 BLOCK OF CALVERT STREET NW,1,1C,3902,Cluster 1,38.92323918,-77.04419435
2025-11-06 03:24:03+00:00,EVENING,OTHERS,THEFT F/AUTO,800 - 899 BLOCK OF 10TH STREET NW,2,2C,5802,Cluster 8,38.9003432,-77.02599355
2025-11-07 02:41:50+00:00,EVENING,OTHERS,THEFT/OTHER,4700 - 4799 BLOCK OF FORT TOTTEN DRIVE NE,5,5A,9510,Cluster 19,38.94788354,-77.00617057
2025-11-07 15:08:33+00:00,DAY,OTHERS,THEFT F/AUTO,10 - 10 BLOCK OF THOMAS CIRCLE NW,2,2F,5003,Cluster 7,38.90584998,-77.03155917
2025-11-08 05:43:17+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,3300 - 3399 BLOCK OF M STREET NW,2,2E,202,Cluster 4,38.90508837,-77.06693574
2025-11-10 15:46:53+00:00,DAY,OTHERS,THEFT F/AUTO,200 - 299 BLOCK OF K STREET NE,6,6C,10602,Cluster 25,38.90251482,-77.00280318
2025-11-15 03:46:40+00:00,EVENING,OTHERS,THEFT/OTHER,6500 - 6599 BLOCK OF GEORGIA AVENUE NW,4,4A,1804,Cluster 17,38.96945187,-77.02730886
2025-11-01 01:33:30+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1200 - 1299 BLOCK OF FLORAL STREET NW,4,4A,1600,Cluster 16,38.9786882,-77.02877764
2025-11-02 13:04:26+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,800 - 899 BLOCK OF C STREET SE,6,6B,6700,Cluster 26,38.88603109,-76.99436186
2025-11-03 16:43:28+00:00,DAY,OTHERS,SEX ABUSE,2400 - 2419 BLOCK OF HAMLIN PLACE NE,5,5C,11100,Cluster 22,38.9273263,-76.97275202
2025-11-04 15:16:51+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,600 - 699 BLOCK OF H STREET NE,6,6C,8302,Cluster 25,38.90020336,-76.99730482
2025-11-05 03:22:13+00:00,EVENING,OTHERS,ROBBERY,3701 - 3810 BLOCK OF HAYES STREET NE,7,7D,9602,Cluster 30,38.90175776,-76.94863683
2025-11-05 05:26:54+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF CALIFORNIA STREET NW,2,2D,4100,Cluster 1,38.91642366,-77.04785187
2025-11-06 18:05:35+00:00,DAY,OTHERS,THEFT F/AUTO,924 - 999 BLOCK OF 26TH STREET NW,2,2A,5601,Cluster 5,38.90189828,-77.05475334
2025-11-08 03:16:13+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2500 - 2599 BLOCK OF 14TH STREET NE,5,5C,9102,Cluster 22,38.92326125,-76.98641259
2025-11-08 13:33:28+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1900 - 2099 BLOCK OF 2ND STREET SW,6,6D,6400,Cluster 9,38.86594907,-77.01367182
2025-11-08 05:00:00+00:00,MIDNIGHT,KNIFE,HOMICIDE,1300 - 1387 BLOCK OF MORRIS ROAD SE,8,8A,7407,Cluster 37,38.86163044,-76.98945991
2025-11-09 18:07:17+00:00,DAY,OTHERS,THEFT/OTHER,2600 - 2699 BLOCK OF 13TH STREET NW,1,1B,3600,Cluster 2,38.92426035,-77.02971146
2025-11-10 02:21:48+00:00,EVENING,OTHERS,THEFT F/AUTO,1429 - 1599 BLOCK OF OKIE STREET NE,5,5D,8803,Cluster 23,38.91539586,-76.98209193
2025-11-12 15:56:11+00:00,DAY,OTHERS,THEFT/OTHER,2337 - 2435 BLOCK OF ALABAMA AVENUE SE,8,8B,7408,Cluster 36,38.85165875,-76.97135406
2025-11-14 21:42:28+00:00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF 19TH STREET SE,7,7D,6804,Cluster 26,38.88812979,-76.97725784
2025-11-15 01:13:06+00:00,EVENING,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF BELMONT STREET NW,1,1B,3701,Cluster 2,38.92051037,-77.03336008
2025-11-15 00:48:57+00:00,EVENING,OTHERS,THEFT/OTHER,5420 - 5499 BLOCK OF CONNECTICUT AVENUE NW,3,3/4G,1100,Cluster 10,38.9625838,-77.0742253
