X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
398758.710000001,145213.059999999,25165721,2025/11/01 00:38:25+00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2025/10/31 18:51:00+00,2025/10/31 18:53:00+00,844742454,
406101.623800002,135185.036899999,25175703,2025/11/19 16:42:03+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5000 - 5099 BLOCK OF CALL PLACE SE,406101.623779615,135185.036890882,7,7E,6,604,Cluster 33,009904 2,009904,Precinct 104,38.8844820467,-76.9296745959,,2025/11/19 14:35:00+00,2025/11/19 16:30:00+00,844742707,
395764.450000003,137060.710000001,25176797,2025/11/21 16:04:00+00,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 22ND STREET NW,395764.45,137060.71,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,38.901389771,-77.0488291908,,2025/11/19 12:00:00+00,2025/11/21 15:00:00+00,844742708,
397084.270000003,141317.309999999,25178238,2025/11/24 05:15:32+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF SHEPHERD STREET NW,397084.27,141317.31,4,4C,4,404,Cluster 18,002504 2,002504,Precinct 47,38.9397399713,-77.0336318346,,2025/11/24 02:33:00+00,2025/11/24 04:21:00+00,844742709,
399823.060000002,137251.899999999,25179448,2025/11/26 14:42:12+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF 3RD STREET NE,399823.06,137251.9,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 83,38.903122265,-77.0020398877,NOMA,2025/11/26 01:30:00+00,2025/11/26 13:00:00+00,844742765,
394088.460000001,138708.719999999,25179478,2025/11/26 16:21:22+00,DAY,OTHERS,THEFT/OTHER,1851 - 2008 BLOCK OF WISCONSIN AVENUE NW,394088.46,138708.72,2,2E,2,206,Cluster 4,000102 1,000102,Precinct 5,38.9162259346,-77.0681648844,,2025/11/26 15:25:00+00,2025/11/26 15:28:00+00,844742766,
400735.079999998,136855.829999998,25176579,2025/11/21 03:53:16+00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 11TH STREET NE,400735.08,136855.83,6,6A,1,104,Cluster 25,008402 2,008402,Precinct 82,38.8995540358,-76.991525909,,2025/10/31 17:00:00+00,2025/10/31 19:00:00+00,844742823,
405327.950000003,135921.920000002,25167400,2025/11/03 21:01:58+00,EVENING,OTHERS,THEFT/OTHER,4400 - 4499 BLOCK OF BENNING ROAD NE,405327.95,135921.92,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,38.8911251955,-76.9385860009,,2025/11/03 20:03:00+00,2025/11/03 20:36:00+00,844742912,
400388.095200002,132003.956599999,25169384,2025/11/07 10:10:31+00,MIDNIGHT,OTHERS,THEFT/OTHER,2800 - 2899 BLOCK OF POMEROY ROAD SE,400388.095230313,132003.95663193,8,8C,7,703,Cluster 37,007401 2,007401,Precinct 119,38.8558466728,-76.9955287309,,2025/11/07 08:56:00+00,,844742913,
394459.18,141888.039999999,25165830,2025/10/31 22:27:47+00,EVENING,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2,203,Cluster 12,001303 1,001303,Precinct 34,38.9448686362,-77.0639158491,,2025/10/31 21:25:00+00,2025/10/31 21:30:00+00,844743108,
395579.079999998,139867.550000001,25167286,2025/11/03 18:35:41+00,DAY,OTHERS,THEFT F/AUTO,2200 - 2274 BLOCK OF CATHEDRAL AVENUE NW,395579.08,139867.55,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,38.9266738107,-77.0509842853,,2025/11/03 16:24:00+00,2025/11/03 16:35:00+00,844743170,
397769.619999997,144596.23,25179201,2025/11/25 23:43:50+00,EVENING,OTHERS,THEFT/OTHER,6500 - 6599 BLOCK OF PINEY BRANCH ROAD NW,397769.62,144596.23,4,4B,4,402,Cluster 17,001901 4,001901,Precinct 59,38.969279362,-77.025737247,,2025/11/25 22:28:00+00,2025/11/25 22:51:00+00,844743183,
398036.93,139678.949999999,25170029,2025/11/08 09:06:14+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2620 - 2711 BLOCK OF GEORGIA AVENUE NW,398036.93,139678.95,1,1E,3,304,Cluster 2,003500 1,003500,Precinct 37,38.9249837706,-77.0226385785,,2025/11/08 05:00:00+00,2025/11/08 08:00:00+00,844743193,
399218.8046,129419.109200001,25168545,2025/11/06 04:05:20+00,MIDNIGHT,OTHERS,THEFT/OTHER,3900 - 3999 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,399218.804637228,129419.109237532,8,8D,7,708,Cluster 39,009807 1,009807,Precinct 124,38.8325609582,-77.0089972649,,2025/11/05 18:11:00+00,2025/11/05 21:17:00+00,844743258,
397102.939999998,143435.030000001,25169578,2025/11/07 20:47:43+00,EVENING,OTHERS,THEFT F/AUTO,5700 - 5711 BLOCK OF 14TH STREET NW,397102.94,143435.03,4,4E,4,403,Cluster 18,002001 2,002001,Precinct 53,38.9588170371,-77.0334254273,,2025/11/07 17:17:00+00,2025/11/07 19:26:00+00,844743264,
401896.594999999,130855.0803,25171041,2025/11/10 13:50:29+00,DAY,OTHERS,BURGLARY,3400 - 3499 BLOCK OF 18TH STREET SE,401896.594975713,130855.080342864,8,8E,7,704,Cluster 38,007409 3,007409,Precinct 116,38.8454951369,-76.9781523803,,2025/11/10 12:13:00+00,2025/11/10 13:50:00+00,844743551,
397798.520000003,145832.579999998,25175064,2025/11/18 04:45:07+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,7400 - 7499 BLOCK OF 9TH STREET NW,397798.52,145832.58,4,4B,4,401,Cluster 17,010300 2,010300,Precinct 63,38.9804167596,-77.0254077291,,2025/11/18 01:30:00+00,2025/11/18 03:30:00+00,844743926,
398010.079999998,138818.940000001,25178905,2025/11/25 14:53:50+00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.917236462,-77.0229457261,,2025/11/25 13:50:00+00,2025/11/25 14:00:00+00,844743961,
401373.049999997,137593.710000001,25425028,2025/11/20 12:33:41+00,DAY,OTHERS,THEFT/OTHER,1600 - 1624 BLOCK OF TRINIDAD AVENUE NE,401373.05,137593.71,5,5D,5,506,Cluster 23,008804 1,008804,Precinct 78,38.9062003548,-76.9841698388,,2025/11/01 19:00:00+00,2025/11/19 21:30:00+00,844744134,
